region,idadmin1,idadmin2,admin1,admin2,shapeName,idadmin1_old,idadmin2_old,admin1_old,admin2_old
SUMATRA,11,1101,ACEH,SIMEULUE,Simeulue,11,1101,ACEH,SIMEULUE
SUMATRA,11,1102,ACEH,ACEH SINGKIL,Aceh Singkil,11,1102,ACEH,ACEH SINGKIL
SUMATRA,11,1103,ACEH,ACEH SELATAN,Aceh Selatan,11,1103,ACEH,ACEH SELATAN
SUMATRA,11,1104,ACEH,ACEH TENGGARA,Aceh Tenggara,11,1104,ACEH,ACEH TENGGARA
SUMATRA,11,1105,ACEH,ACEH TIMUR,Aceh Timur,11,1105,ACEH,ACEH TIMUR
SUMATRA,11,1106,ACEH,ACEH TENGAH,Aceh Tengah,11,1106,ACEH,ACEH TENGAH
SUMATRA,11,1107,ACEH,ACEH BARAT,Aceh Barat,11,1107,ACEH,ACEH BARAT
SUMATRA,11,1108,ACEH,ACEH BESAR,Aceh Besar,11,1108,ACEH,ACEH BESAR
SUMATRA,11,1109,ACEH,PIDIE,Pidie,11,1109,ACEH,PIDIE
SUMATRA,11,1110,ACEH,BIREUEN,Bireuen,11,1110,ACEH,BIREUEN
SUMATRA,11,1111,ACEH,ACEH UTARA,Aceh Utara,11,1111,ACEH,ACEH UTARA
SUMATRA,11,1112,ACEH,ACEH BARAT DAYA,Aceh Barat Daya,11,1112,ACEH,ACEH BARAT DAYA
SUMATRA,11,1113,ACEH,GAYO LUES,Gayo Lues,11,1113,ACEH,GAYO LUES
SUMATRA,11,1114,ACEH,ACEH TAMIANG,Aceh Tamiang,11,1114,ACEH,ACEH TAMIANG
SUMATRA,11,1115,ACEH,NAGAN RAYA,Nagan Raya,11,1115,ACEH,NAGAN RAYA
SUMATRA,11,1116,ACEH,ACEH JAYA,Aceh Jaya,11,1116,ACEH,ACEH JAYA
SUMATRA,11,1117,ACEH,BENER MERIAH,Bener Meriah,11,1117,ACEH,BENER MERIAH
SUMATRA,11,1118,ACEH,PIDIE JAYA,Pidie Jaya,11,1118,ACEH,PIDIE JAYA
SUMATRA,11,1171,ACEH,KOTA BANDA ACEH,Kota Banda Aceh,11,1171,ACEH,KOTA BANDA ACEH
SUMATRA,11,1172,ACEH,KOTA SABANG,Kota Sabang,11,1172,ACEH,KOTA SABANG
SUMATRA,11,1173,ACEH,KOTA LANGSA,Kota Langsa,11,1173,ACEH,KOTA LANGSA
SUMATRA,11,1174,ACEH,KOTA LHOKSEUMAWE,Kota Lhokseumawe,11,1174,ACEH,KOTA LHOKSEUMAWE
SUMATRA,11,1175,ACEH,KOTA SUBULUSSALAM,Kota Subulussalam,11,1175,ACEH,KOTA SUBULUSSALAM
SUMATRA,12,1201,SUMATRA UTARA,NIAS,Nias,12,1201,SUMATRA UTARA,NIAS
SUMATRA,12,1202,SUMATRA UTARA,MANDAILING NATAL,Mandailing Natal,12,1202,SUMATRA UTARA,MANDAILING NATAL
SUMATRA,12,1203,SUMATRA UTARA,TAPANULI SELATAN,Tapanuli Selatan,12,1203,SUMATRA UTARA,TAPANULI SELATAN
SUMATRA,12,1204,SUMATRA UTARA,TAPANULI TENGAH,Tapanuli Tengah,12,1204,SUMATRA UTARA,TAPANULI TENGAH
SUMATRA,12,1205,SUMATRA UTARA,TAPANULI UTARA,Tapanuli Utara,12,1205,SUMATRA UTARA,TAPANULI UTARA
SUMATRA,12,1206,SUMATRA UTARA,TOBA SAMOSIR,Toba Samosir,12,1206,SUMATRA UTARA,TOBA SAMOSIR
SUMATRA,12,1207,SUMATRA UTARA,LABUHAN BATU,Labuhan Batu,12,1207,SUMATRA UTARA,LABUHAN BATU
SUMATRA,12,1208,SUMATRA UTARA,ASAHAN,Asahan,12,1208,SUMATRA UTARA,ASAHAN
SUMATRA,12,1209,SUMATRA UTARA,SIMALUNGUN,Simalungun,12,1209,SUMATRA UTARA,SIMALUNGUN
SUMATRA,12,1210,SUMATRA UTARA,DAIRI,Dairi,12,1210,SUMATRA UTARA,DAIRI
SUMATRA,12,1211,SUMATRA UTARA,KARO,Karo,12,1211,SUMATRA UTARA,KARO
SUMATRA,12,1212,SUMATRA UTARA,DELI SERDANG,Deli Serdang,12,1212,SUMATRA UTARA,DELI SERDANG
SUMATRA,12,1213,SUMATRA UTARA,LANGKAT,Langkat,12,1213,SUMATRA UTARA,LANGKAT
SUMATRA,12,1214,SUMATRA UTARA,NIAS SELATAN,Nias Selatan,12,1214,SUMATRA UTARA,NIAS SELATAN
SUMATRA,12,1215,SUMATRA UTARA,HUMBANG HASUNDUTAN,Humbang Hasundutan,12,1215,SUMATRA UTARA,HUMBANG HASUNDUTAN
